Number,Gender,Title,First Name,Initial,Last Name,Address 1,Address 2,City,PROV,Postal Code,Email Address,Telephone Number,DOB,SIN,Expiry, Balance 
203400,male,Mr.,Walter,T,Hodge,4388 Bloor Street,,Daysland,AB,T0B 1A0,walterthodge@openfarmpet.com,780-374-1016,9/18/1961,679832493,24-Mar,"$292,920 "
203403,female,Mrs.,Elizabeth,R,Rossiter,399 Venture Place,,High Prairie,AB,T0G 1E0,elizabethrrossiter@gmail.com,780-523-8819,11/25/1980,679850529,24-Sep,"$29,920 "
203406,male,Mr.,Christopher,S,Heikkinen,3560 Eglinton Avenue,,Toronto,ON,M4P 1A6,christophersheikkinen@gmail.com,416-357-2819,6/19/1945,554734194,24-Sep,"$341,500 "
203409,female,Ms.,Zoraida,R,Blair,1457 Water Street,,Kitchener,ON,N2H 5A5,zoraidarblair@gmail.com,519-807-6455,1/20/1988,555112192,25-Apr,"$28,050 "
203426,female,Ms.,Mary,J,Rayner,2651 Adelaide St,,Toronto,ON,M5H 1P6,maryjrayner@ymail.com,416-869-0785,1/9/1949,555708791,26-Apr,"$6,550 "
203428,male,Mr.,Joseph,M,Haley,2602 Holdom Avenue,,Surrey,BC,V3T 4Y5,josephmhaley@outlook.com,604-589-5498,2/1/1952,759111685,24-Oct,"$89,440 "
203431,female,Mrs.,Marla,A,Williams,3820 Port Washington Road,,Banff,AB,T0L 0C0,marlaawilliams@hotmail.com,403-762-5477,6/13/1974,680076288,25-Apr,"$9,040 "
203432,female,Mrs.,Janie,C,Spillane,4774 Dufferin Avenue,,Toronto,ON,M5J 2N8,janiecspillane@icloud.com,416-848-8087,9/28/1966,557020294,25-Sep,"$5,202 "
203435,female,Mrs.,Lynn,S,Wells,4583 Bay Street,,Toronto,ON,M5J 2R8,lynnswells@bell.net,416-831-9558,2/24/1981,557284262,27-Nov,"$66,480 "
203437,female,Ms.,Geraldine,R,Boyette,963 137th Avenue,,Edmonton,AB,T5J 2Z2,geraldinerboyette@gmail.com,780-710-8051,2/3/1962,680126083,26-May,"$29,350 "
203439,female,Ms.,Brenda,C,Yu,4093 Nelson Street,,Pointe Au Baril,ON,P0G 1K0,brendacyu@gmail.com,705-366-3239,9/24/1972,557390721,25-Mar,"$379,800 "
203441,male,Mr.,Andrew,Z,Christian,1034 Embro St,,Embro,ON,N0J 1J0,andrewzchristian@gmail.com,519-475-1076,3/3/2000,557436086,23-Jun,"$26,290 "
203443,male,Mr.,Darren,N,Parsons,4879 Yonge Street,,Toronto,ON,M4W 1J7,darrennparsons@telus.net,416-968-0069,6/18/1948,557535994,25-Jan,"$171,960 "
203446,female,Ms.,Sarita,C,Smith,4465 Danforth Avenue,Unit 1202,Toronto,ON,M4K 1A6,saritacsmith@yahoo.com,416-461-5927,2/8/1999,557989910,27-Dec,"$113,640 "
203449,male,Mr.,Brian,I,Stalnaker,436 Reserve St,,Merrickville,ON,K0G 1N0,brianistalnaker@gmail.com,613-269-0824,4/26/1951,559735881,26-Aug,"$89,440 "
203452,female,Ms.,Brenda,R,Thomsen,907 Davis Drive,,Orillia,ON,L3V 1T4,brendarthomsen@live.ca,705-330-2477,3/6/1966,559852553,24-Jan,"$21,570 "
203465,male,Mr.,Charles,R,Boatman,3138 Adelaide St,,Toronto,ON,M5H 1P6,charlesrboatman@gmail.com,416-842-1986,2/12/1968,559879614,24-Sep,"$1,900 "
203467,female,Ms.,Andrea,J,Brewer,3493 Sixth Street,,New Westminster,BC,V3L 3C1,andreajbrewer@gmail.ca,604-813-2526,3/12/1975,759198989,26-Jan,"$230,360 "
203470,male,Mr.,Carey,G,Maxwell,2172 rue Levy,,Montreal,QC,H3C 5K4,careygmaxwell@gmail.com,514-718-2554,1/15/1948,254515844,27-Jun,"$289,920 "
203471,male,Mr.,Michael,M,Evans,3689 Reserve St,,Bloomfield,ON,K0K 1G0,michaelmevans@icloud.com,613-393-3165,8/9/1951,560624132,23-Nov,"$258,720 "
203474,female,Ms.,Linda,D,Green,2853 Halsey Avenue,,Toronto,ON,M3B 2W6,lindadgreen@hotmail.com,416-391-5069,10/21/1963,560917692,26-Jul,"$26,890 "
203476,female,Mrs.,Tracy,T,Wilson,1124 James Street,,Burford,ON,N0E 1A0,tracytwilson@yahoo.ca,519-449-8492,9/21/1974,561579301,25-Feb,"$6,770 "
203478,male,Mr.,Henry,E,Harvill,4454 Heatherleigh,,Cooksville,ON,L5A 1V9,henryeharvill@gmail.com,905-275-6610,10/24/1997,561625807,27-Sep,"$443,250 "
203480,male,Mr.,Anthony,C,Salazar,1368 Lynden Road,,Tottenham,ON,L0G 1W0,anthonycsalazar@telus.net,905-936-9798,1/24/1938,561667221,23-Apr,"$12,100 "
203482,female,Ms.,Mary,J,Pelletier,2015 rue St-Henri,,Ville Le Gardeur,QC,J5Z 1R6,maryjpelletier@gmail.com,450-470-6308,12/9/1967,254516909,24-Aug,"$13,670 "
203485,male,Mr.,William,A,Fick,3422 rue Ontario Ouest,,Montreal,QC,H2X 1Y8,williamafick@hotmail.com,514-847-6792,5/14/1993,254537046,27-Jun,"$17,150 "
203488,male,Mr.,Mario,E,Walker,4267 Northumberland Street,,New Dundee,ON,N0B 2E0,marioewalker@gmail.com,519-696-8869,4/25/1972,561677238,23-Jan,"$296,500 "
203491,male,Mr.,Eugene,D,Rayburn,190 Nelson Street,,North Spirit Lake,ON,P0V 2G0,eugenedrayburn@gmail.com,807-776-7228,4/1/1957,561812785,25-Jun,"$873,750 "
203494,female,Mrs.,Carrie,J,McIntyre,4123 Merton Street,,Toronto,ON,M1L 3K7,carriejmcintyre@gmail.com,416-986-1369,6/16/1981,561902776,23-Jun,"$230,360 "
203496,female,Mrs.,Sandra,G,Jackson,1380 Walsh Street,Unit 15,Thunder Bay,ON,P7E 1J5,sandragjackson@gmail.com,807-626-3733,6/17/1982,680393097,25-Aug,"$258,720 "
203499,male,Mr.,Carlos,S,Creswell,507 Boulevard Laflèche,,St Georges,QC,G5Y 1X7,carlosscreswell@gmail.com,418-228-2142,1/11/1964,254635717,23-Sep,"$9,050 "
203500,female,Mrs.,Betty,J,Kelley,2314 Waterton Avenue,,Pincher Creek,AB,T0K 1W0,bettyjkelley@gmail.com,403-632-3265,12/30/1951,680483450,25-Feb,"$17,150 "
203503,female,Ms.,Angelia,S,Messer,585 St. Paul Street,,St Catharines,ON,L2R 7L4,angeliasmesser@gmail.com,905-328-4101,5/14/1941,561920067,24-Jun,"$414,440 "
203505,male,Mr.,Jack,B,Hayes,4531 Robson St,Unit 72,Vancouver,BC,V6B 3K9,jackbhayes@gmail.com,604-895-9694,4/1/1967,759286628,24-Mar,"$339,750 "
203507,female,Mrs.,Sue,K,Main,3 Wascana Parkway,,Regina,SK,S4S 2R3,suekmain@gmail.com,306-777-8321,12/23/1992,680757606,26-Apr,"$537,500 "
203509,female,Ms.,Terri,V,Samuel,2493 Reserve St,,Whitney,ON,K0J 2M0,terrivsamuel@gmail.com,613-637-1956,11/30/1999,562125997,24-Aug,"$311,220 "
203511,male,Mr.,Amos,J,Nichols,982 Roger Street,Apt 4,Nanaimo,BC,V9R 5H9,amosjnichols@gmail.com,250-751-9045,7/8/1945,759630254,23-Nov,"$3,800 "
203514,female,Mrs.,Anna,C,Lusk,4068 Adelaide St,,Toronto,ON,M5H 1P6,annaclusk@gmail.com,416-603-7105,10/16/1981,562391557,24-May,"$12,330 "
203517,female,Mrs.,Cheryl,S,Meza,3183 Wellington Street,,Toronto,ON,M9C 3J5,cherylsmeza@lolw.tf,905-624-8583,12/29/1971,562579342,25-Feb,"$362,700 "
203520,female,Mrs.,Kelly,J,Dillard,2616 Central Pkwy,,Port Credit,ON,L5G 1K2,kellyjdillard@gmail.com,905-891-1094,10/6/1966,563097310,24-Jul,"$256,360 "
203536,male,Mr.,James,A,Klein,1438 Yonge Street,Apt 403,Toronto,ON,M4W 1J7,jamesaklein@gmail.com,416-960-1908,7/1/1987,563190446,25-Sep,"$9,050 "
203538,female,Ms.,Maggie,B,Ortiz,3633 Jasper Ave,,Edmonton,AB,T5J 3N6,maggiebortiz@hotmail.com,780-904-4172,2/12/1970,680982717,23-Apr,"$6,327 "
203541,male,Mr.,Victor,R,Powers,177 Mountain Avenue,,Morden,MB,R6M 1Y2,victorrpowers@gmail.com,204-822-0950,4/22/1959,681020012,24-Sep,"$38,745 "
203542,male,Mr.,James,E,Kephart,151 Nelson Street,,Grassy Narrows,ON,P0X 1B0,jamesekephart@gmail.com,807-925-0318,5/26/1963,563350784,24-Jul,"$161,980 "
203545,male,Mr.,Salvatore,C,Hinkle,2774 Sheppard Ave,,Toronto,ON,M1S 1T4,salvatorechinkle@gmail.com,416-609-3563,8/25/1954,563763895,24-Mar,"$256,360 "
203547,male,Mr.,Dwight,R,Clement,39 Barton Street,,Hamilton,ON,L8P 1P8,dwightrclement@telus.net,905-818-5971,11/14/1972,563793132,27-Sep,"$286,440 "
203549,male,Mr.,Eric,D,Hamblin,4905 Gateway Blvd,,Edmonton,AB,T6H 1J5,ericdhamblin@gmail.com,780-434-8377,2/9/1967,681304481,26-Jul,"$12,330 "
203551,male,Mr.,George,K,Sperling,2908 Robson St,,Vancouver,BC,V6B 3K9,georgeksperling@gmail.com,604-550-0800,6/17/1981,760238394,26-Dec,"$70,200 "
203553,male,Mr.,Philip,J,Midgley,4880 Toy Avenue,Apt206,Oshawa,ON,L1H 7M3,philipjmidgley@gmail.com,905-259-2853,10/17/1956,563919760,23-Jul,"$17,108 "
203556,male,Mr.,Chas,K,Silva,4666 Weir Crescent,,Toronto,ON,M1E 3T8,chasksilva@gmail.com,416-898-0678,9/24/1991,564152882,27-Sep,"$13,670 "
203559,male,Mr.,Daniel,R,Tucker,4884 Gateway Blvd,,Edmonton,AB,T6H 1J5,danielrtucker@gmail.com,780-989-0848,12/6/2001,681348702,26-Mar,"$25,480 "
203562,female,Ms.,Cristine,M,Hey,1801 184th Street,,Edmonton,AB,T5J 2R4,cristinemhey@gmail.com,780-465-6518,8/29/2001,681459020,27-May,"$25,215 "
203580,female,Mrs.,Tara,S,Ries,101 Harvest Moon Dr,,Unionville,ON,L3R 0L7,tarasries@hotmail.com,905-943-5203,5/31/1957,564241339,23-Mar,"$7,983 "
203582,female,Mrs.,Stephanie,J,Garcia,3880 Hastings Street,,Vancouver,BC,V6C 1B4,stephaniejgarcia@hotmail.com,604-727-7985,3/25/1944,760301135,23-Feb,"$15,310 "
203585,female,Mrs.,Patricia,A,Enriquez,2489 Derry Rd,,Malton,ON,L4T 1A8,patriciaaenriquez@live.com,905-612-9327,3/30/1981,564353878,26-Apr,"$7,455 "
203586,female,Ms.,Shana,G,Richardson,2524 rue des Églises Est,,St Pie De Guire,QC,J0G 1R0,shanagrichardson@shaw.ca,450-706-9889,6/29/1950,254746704,27-Mar,"$15,310 "
203589,male,Mr.,Alexander,L,Fisher,1547 Kinchant St,,Chilliwack,BC,V2P 2S6,alexanderlfisher@gmail.com,604-316-5999,3/13/1968,760867184,25-Sep,"$8,283 "
203591,male,Mr.,Charles,L,Gilliam,308 Leduc Street,,Vankleek Hill,ON,K0B 1R0,charleslgilliam@hotmail.com,613-677-7276,1/29/1980,564566651,24-Apr,"$25,670 "
203593,male,Mr.,Tod,M,Hill,732 Blanshard,,Victoria,BC,V8W 2H9,todmhill@gmail.com,250-384-2903,12/25/1961,761325257,24-Jun,"$25,670 "
203595,female,Ms.,Daisy,G,Littleton,3629 Wallbridge Loyalist Rd,,Belleville,ON,K8N 1L9,daisyglittleton@hotmail.com,613-827-2655,11/29/2000,565258050,27-Aug,"$239,980 "
203597,male,Mr.,Nicholas,S,Stone,1767 Barton Street,,Hamilton,ON,L8P 1P8,nicholassstone@gmail.com,905-741-5335,10/1/1957,565455433,25-Jul,"$465,400 "
203600,female,Ms.,Deborah,M,Hammond,1473 Davis Drive,,Grimsby,ON,L3M 3J6,deborahmhammond@gmail.com,905-945-0351,12/27/1978,565596020,25-Oct,"$4,420 "
203603,female,Mrs.,Connie,D,Ross,756 137th Avenue,,Edmonton,AB,T5M 3K3,conniedross@yahoo.com,780-447-3659,8/17/1943,682084991,24-Aug,"$255,450 "
203606,female,Mrs.,Maurine,E,Hester,3406 James Street,,Westbank,BC,V5C 1J9,maurineehester@hotmail.com,250-707-3727,2/26/1956,761744101,27-Apr,"$6,490 "
203628,female,Mrs.,Joy,A,Forsyth,4810 Adelaide St,,Toronto,ON,M5H 1P6,joyaforsyth@hotmail.com,416-504-5443,12/8/1955,565853538,27-Mar,"$1,812 "
203630,male,Mr.,Linwood,A,Williamson,1089 Bloor Street,,Daysland,AB,T0B 1A0,linwoodawilliamson@shaw.ca,780-374-8654,4/17/1995,682249057,24-May,"$22,550 "
203633,male,Mr.,Raymond,E,Rieger,4977 Islington Ave,,Toronto,ON,M9V 2X5,raymonderieger@ymail.com,416-743-5280,2/2/1944,565931813,26-Oct,"$12,490 "
203634,male,Mr.,Warren,M,Hill,4600 11th Ave,,Calgary,AB,T2P 1M6,warrenmhill@yahoo.com,403-266-8840,4/8/1957,682390471,26-Mar,"$7,193 "
203637,male,Mr.,Charles,C,Poston,3679 Venture Place,,Clyde,AB,T0G 0P0,charlescposton@hotmail.com,780-348-7825,5/1/1989,682431119,27-Jan,"$201,750 "
203639,female,Mrs.,Margaret,F,Kelly,2859 Bay Street,,Toronto,ON,M5J 2R8,margaretfkelly@gmail.com,416-838-2847,12/17/1953,566037677,23-May,"$26,410 "
203641,female,Ms.,Alyse,J,Burns,3960 Burdett Avenue,,Victoria,BC,V8W 1L6,alysejburns@outlook.com,250-884-3699,11/19/1991,762137347,24-Aug,"$27,080 "
203643,male,Mr.,Keith,K,Brandt,2912 Nelson Street,,Dubreuilville,ON,P0S 1B0,keithkbrandt@gmail.com,705-234-3910,1/11/1949,566196002,25-Jul,"$684,320 "
203645,male,Mr.,Douglas,L,Kirby,895 Fallon Drive,,Clifford,ON,N0G 1M0,douglaslkirby@gmail.com,519-327-5710,3/7/1986,566678777,26-Jan,"$189,960 "
203648,female,Ms.,Amanda,P,Cude,2398 184th Street,,Edmonton,AB,T5J 2R4,amandapcude@yahoo.com,780-668-1804,1/29/1988,682673215,23-Mar,"$1,713 "
203651,male,Mr.,Leroy,J,Bussey,1431 Robson St,,Vancouver,BC,V6B 3K9,leroyjbussey@hotmail.com,604-686-0377,4/3/1992,763330545,27-Aug,"$13,480 "
203654,male,Mr.,John,G,Obrien,1462 Princess St,,Kingston,ON,K7L 1C2,johngobrien@gmail.com,613-540-1978,7/31/1989,566934758,25-Apr,"$15,650 "
203668,female,Mrs.,Carol,R,Summers,1660 Tchesinkut Lake Rd,,Granisle,BC,V0J 1W0,carolrsummers@gmail.com,250-697-2007,6/4/1986,763681343,26-Apr,"$12,490 "
203670,female,Ms.,Tricia,R,Badillo,4330 Thurston Dr,,Orleans,ON,K1C 1T1,triciarbadillo@yahoo.com,613-830-5646,10/30/1959,566973178,27-Jun,"$92,820 "
203673,male,Mr.,Delbert,S,Allen,4886 Roger Street,,Courtenay,BC,V9N 2J6,delbertsallen@gmail.com,250-897-9226,11/25/1986,763946738,25-Apr,"$3,039 "
203674,male,Mr.,Joe,A,Holley,3690 Galts Ave,,Red Deer,AB,T4N 2A6,joeaholley@gmail.com,403-755-4644,11/1/1977,682905708,23-Oct,"$39,975 "
203677,male,Mr.,Lewis,C,Olson,4397 Tycos Dr,,Toronto,ON,M5T 1T4,lewiscolson@gmail.com,416-605-1937,5/11/1988,567011564,25-Feb,"$684,320 "
203679,male,Mr.,Brendan,V,Steinberg,1778 Acton Avenue,,Toronto,ON,M3H 4J1,brendanvsteinberg@gmail.com,416-379-8781,12/18/1961,567099643,24-Mar,"$5,950 "
203681,male,Mr.,Carlos,F,Hayes,2294 Robson St,,Vancouver,BC,V6B 3K9,carlosfhayes@gmail.com,604-666-1858,2/17/1978,764086211,27-Oct,"$1,812 "
203683,male,Mr.,Frank,S,Guyer,3987 rue St-Henri,,La Prairie,QC,J5R 2S7,franksguyer@gmail.com,450-444-7352,7/15/1950,254876279,24-Jun,"$6,600 "
203685,male,Mr.,Steven,N,Do,4348 René-Lévesque Blvd,,Montreal,QC,H3B 4W8,stevenndo@hotmail.com,514-576-9256,5/26/1968,255619934,23-Jan,"$1,230 "
203688,female,Ms.,Maria,E,Garrity,3161 Princess St,,Kingston,ON,K7L 1C2,mariaegarrity@gmail.com,613-547-0174,10/23/1944,567348255,23-Dec,"$651,250 "
203691,male,Mr.,Michael,J,Queen,2520 Craven Place,Suite 2504,Medicine Hat,AB,T1A 0N1,michaeljqueen@hotmail.com,403-504-1149,1/19/1996,683054449,25-Sep,"$3,039 "
203694,female,Ms.,Hilda,E,Crosby,4326 Roger Street,,Port Alberni,BC,V9Y 4M8,hildaecrosby@gmail.com,250-206-4986,9/14/1944,764210050,26-Nov,"$189,960 "
203705,female,Ms.,Leah,D,Bowers,840 Hastings Street,,Vancouver,BC,V6C 1B4,leahdbowers@me.com,778-855-3064,6/28/1968,764472833,23-Sep,"$15,650 "
203707,female,Ms.,Melissa,W,Frakes,4655 Kinchant St,,Kamloops,BC,V2B 3J5,melissawfrakes@gmail.com,250-554-4423,8/12/1946,764518080,26-Apr,"$199,080 "
203710,female,Mrs.,Janet,J,Crider,252 rue des Églises Est,,Fabre,QC,J0Z 1Z0,janetjcrider@outlook.com,819-634-5761,12/17/1964,255958548,25-Nov,"$5,950 "
203711,male,Mr.,Joe,C,Bailey,3115 Carling Avenue,,Ottawa,ON,K1Z 7B5,joecbailey@gmail.com,613-797-6098,1/12/1958,567437694,23-Apr,"$1,230 "
203714,female,Ms.,Teresa,D,Palen,1808 Port Washington Road,,Barons,AB,T0L 0G0,teresadpalen@gmail.com,403-757-3776,10/12/1975,684079130,27-Jan,"$5,310 "
203716,female,Ms.,Susan,R,Smith,4194 40th Street,,Calgary,AB,T2P 2V7,susanrsmith@gmail.com,403-444-7263,9/18/1996,684223308,27-Jul,"$25,790 "
203718,male,Mr.,Chad,P,Dewitt,4963 Boulevard Laflèche,,Riviere Du Loup,QC,G5R 3E9,chadpdewitt@hotmail.ca,418-863-2313,11/19/1997,256334061,24-Jun,"$17,430 "
203720,male,Mr.,Michael,K,Gregory,1733 King George Hwy,,Surrey,BC,V3W 4E3,michaelkgregory@hotmail.com,604-595-6854,9/2/1938,764615282,27-May,"$14,980 "
203722,male,Mr.,Walter,S,Gonzalez,2728 rue Garneau,,Quebec,QC,G1V 3V5,waltersgonzalez@gmail.com,418-955-2918,1/5/1973,256405754,25-May,"$1,400 "
203725,male,Mr.,Jay,C,Johnston,4733 40th Street,,Calgary,AB,T2P 2V7,jaycjohnston@hotmail.com,403-539-4922,10/1/2002,684456387,27-Jun,"$1,465 "
203728,female,Ms.,Jennifer,J,Doyle,4952 Ross Street,,Arnprior,ON,K7S 2R5,jenniferjdoyle@gmail.com,613-623-2807,12/20/1952,567723176,24-Apr,"$14,980 "
203731,male,Mr.,Kevin,M,Casey,4859 Bay Street,Unit 102,Toronto,ON,M5J 2R8,kevinmcasey@gmail.com,647-869-3064,4/29/1954,567896980,24-Dec,"$2,780 "
203749,female,Ms.,Earline,A,Greenough,1156 Northumberland Street,,St Clements,ON,N0B 2M0,earlineagreenough@gmail.com,519-699-0909,11/12/1999,568154488,25-Jan,"$24,280 "
203751,male,Mr.,Patrick,M,Grigsby,301 Stoney Creek,,Goodsoil,SK,S4P 3Y2,patrickmgrigsby@22office.com,306-238-4987,6/26/1978,684506835,25-Jul,"$17,670 "
203754,male,Mr.,Ronald,D,Webb,648 rue Boulay,,Acton Vale,QC,J0H 1A0,ronalddwebb@gmail.com,450-546-9056,7/21/1996,257493932,27-Mar,"$4,179 "
203755,male,Mr.,Richard,N,Brooks,817 Jasper Ave,,Edmonton,AB,T5J 3N6,richardnbrooks@gmail.com,780-953-3606,5/13/1956,685581282,27-Mar,"$1,400 "
203758,female,Mrs.,Rosemarie,V,Beard,266 Glover Road,,Surrey,BC,V3W 4N6,rosemarievbeard@hotmail.com,604-635-1012,6/2/1968,764743696,23-Oct,"$4,179 "
203760,male,Mr.,David,J,Mohn,2312 Bank St,,Ottawa,ON,K1H 7Z1,davidjmohn@gmail.com,613-816-7351,11/28/1942,568159560,24-Sep,"$6,045 "
203762,male,Mr.,Gordon,M,Barber,2626 Paradise Crescent,,Hauterive,QC,G5C 1M1,gordonmbarber@gmail.com,418-294-2129,1/23/1965,257555052,23-Jan,"$200,250 "
203764,male,Mr.,Gilbert,K,Pedroza,2683 Embro St,,Innerkip,ON,N0J 1M0,gilbertkpedroza@gmail.com,519-469-3417,2/4/1968,568365043,23-Jul,"$122,760 "
203766,male,Mr.,Terrance,R,Lawton,1163 Hammarskjold Dr,,Burnaby,BC,V5B 3C9,terrancerlawton@ns.sympatico.ca,604-268-6050,11/25/1997,765899711,25-Feb,"$374,000 "
203769,female,Mrs.,Helen,A,Taylor,1179 Balmy Beach Road,,Owen Sound,ON,N4K 2N7,helenataylor@gmail.com,519-376-5578,8/8/1946,568437263,24-Mar,"$252,500 "
203772,male,Mr.,Luke,H,Gray,3927 Coldstream Avenue,,Vernon,BC,V1T 6N1,lukehgray@gmail.com,250-503-8393,7/15/1956,766411102,27-Jan,"$15,130 "
203775,male,Mr.,Douglas,E,Feller,2622 Yonge Street,quails run,Toronto,ON,M4W 1J7,douglasefeller@gmail.com,416-323-3158,9/1/1958,569113921,27-Jan,"$23,000 "
203793,female,Ms.,Sara,G,Malone,770 184th Street,PH11,Edmonton,AB,T5J 2R4,saragmalone@rogers.com,780-462-9746,12/16/1972,685717654,25-Nov,"$338,520 "
203795,male,Mr.,William,L,Caviness,2401 Port Washington Road,,Torrington,AB,T0M 2B0,williamlcaviness@gmail.com,403-631-5090,7/10/1984,685791188,24-Oct,"$579,150 "
203798,female,Mrs.,Christine,M,Janda,1332 Bloor Street,,St Michael,AB,T0B 4B0,christinemjanda@gmail.com,780-896-1453,10/19/1970,687699611,24-Jan,"$311,740 "
203799,male,Mr.,Forrest,O,Broussard,3362 De L'Acadie Boul,,Montreal,QC,H4N 3C5,forrestobroussard@localnet.ca,514-946-5661,11/18/1975,257766097,23-Nov,"$52,000 "
203802,male,Mr.,Timothy,L,Timmons,1817 Duke Street,,Montreal,QC,H3C 5K4,timothyltimmons@gmail.com,514-216-7002,11/6/1959,258261361,26-Dec,"$1,940 "
203804,female,Ms.,Virginia,J,Whatley,4347 Eglinton Avenue,,Toronto,ON,M4P 1A6,virginiajwhatley@gmail.com,416-554-5390,12/12/2001,569152846,24-Sep,"$8,635 "
203806,male,Mr.,Mark,S,Camp,627 Barrydowne Road,,Sudbury,ON,P3E 5K3,markscamp@gmail.com,705-673-1607,6/18/1973,569494941,27-Feb,"$23,000 "
203808,male,Mr.,Gregory,K,Hanson,390 Nootka Street,,Vancouver,BC,V5M 3M5,gregorykhanson@gmail.com,778-838-3812,12/21/1997,766489371,23-Jul,"$2,600 "
203810,female,Ms.,Charity,C,McClure,2920 De la Providence Avenue,,Hull,QC,J8Y 3Y5,charitycmcclure@gmail.com,819-661-7580,3/13/1994,258603885,23-Sep,"$24,700 "
203813,male,Mr.,Walter,D,Hart,1928 Brand Road,,Saskatoon,SK,S7K 1W8,walterdhart@hotmail.com,306-382-5464,3/19/1975,687761205,25-Mar,"$17,430 "
203816,male,Mr.,David,J,Sweat,3098 rue Levy,,Montreal,QC,H3C 5K4,davidjsweat@gmail.com,514-602-4672,5/12/1964,258651207,26-Sep,"$8,742 "
203819,male,Mr.,Rudolph,D,McCraw,4849 Bank St,,Ottawa,ON,K1H 7Z1,rudolphdmccraw@focusai.ca,613-520-8250,7/27/1936,569648975,27-Jun,"$8,655 "
203834,male,Mr.,Edwin,C,McKinney,2049 Richford Road,,St Luc,QC,J0J 2A0,edwincmckinney@hotmail.com,450-210-2256,8/1/1989,258676857,27-Nov,"$182,000 "
203836,male,Mr.,Matthew,J,Williams,1698 Promenade du Portage,,Hull,QC,S4P 3Y2,matthewjwilliams@hotmail.com,819-777-8664,3/17/1947,258795913,26-Apr,"$6,666 "
203839,male,Mr.,Joseph,M,Amos,662 Higginsville Road,,Brookfield,NS,B0N 1M0,josephmamos@gmail.com,902-650-1151,8/19/1941,130302300,24-Feb,"$306,020 "
203840,female,Mrs.,Rhonda,D,French,3992 Water Street,,Kitchener,ON,N2H 5A5,rhondadfrench@gmail.com,519-505-8594,2/21/1949,569787062,23-Nov,"$499,720 "
203843,female,Mrs.,Linda,R,McBride,3717 Yonge Street,,Toronto,ON,M4W 1J7,lindarmcbride@yahoo.ca,416-964-2662,6/26/1946,571152297,25-Mar,"$189,000 "
203845,female,Ms.,Rona,G,Hodges,4881 Eglinton Avenue,,Toronto,ON,M4P 1A6,ronaghodges@gmail.com,647-208-2492,12/4/1987,571225655,26-Jan,"$6,060 "
203847,male,Mr.,Scotty,P,Scannell,3203 Halsey Avenue,,Toronto,ON,M3B 2W6,scottypscannell@gmail.com,416-449-1550,4/25/1986,571437169,23-Dec,"$615,000 "
203849,female,Ms.,Kayla,D,Clawson,1552 Eglinton Avenue,,Toronto,ON,M4P 1A6,kayladclawson@gmail.com,647-688-5398,7/3/1956,572482925,23-Feb,"$67,250 "
203851,male,Mr.,Robert,C,Hadley,307 Port Washington Road,,Milo,AB,T0L 1L0,robertchadley@gmail.com,403-599-1353,11/5/1990,687793398,23-May,"$634,000 "
203854,female,Ms.,Elvira,O,Beckett,2829 McGill Road,,Kamloops,BC,V2C 5R8,elviraobeckett@gmail.com,250-319-7658,1/17/1948,766717995,24-May,"$14,515 "
203857,female,Ms.,Guadalupe,A,Hayek,296 Keith Road,,North Vancouver,BC,V5T 2C1,guadalupeahayek@hotmail.com,604-981-6630,10/5/1959,766789622,27-Jan,"$635,250 "
203860,male,Mr.,James,S,Chen,2176 Wascana Parkway,,Regina,SK,S4S 2R3,jamesschen@hotmail.com,306-584-5076,4/23/1988,687806398,27-Apr,"$67,250 "
203868,male,Mr.,David,M,Godoy,2222 Pine Street,,Beaumont,AB,T0C 0H0,davidmgodoy@hotmail.com,780-929-8118,11/22/1967,688006063,26-Sep,"$374,000 "
203870,male,Mr.,Charles,J,Shelton,2874 Alaska Hwy,,Fort Nelson,BC,V0C 1C0,charlesjshelton@gmail.com,250-774-0529,7/18/1961,767101850,24-Dec,"$252,500 "
203873,male,Mr.,Clyde,E,Gay,2099 Rue De La Gare,,Ste Marthe Du Cap La Madeleine,QC,G8T 7V7,clydeegay@gmail.com,819-692-1196,7/27/2000,258848753,26-Jul,"$333,060 "
203874,male,Mr.,Anthony,M,Gasaway,3313 Sherbrooke Ouest,Ste 15,Montreal,QC,H4A 1H3,anthonymgasaway@gmail.com,514-512-8125,2/18/1956,259205193,26-May,"$222,000 "
203877,female,Ms.,Sharon,M,Maurer,1756 137th Avenue,,Edmonton,AB,T5M 3K3,sharonmmaurer@gmail.com,780-732-7984,7/13/1960,688272111,24-Nov,"$341,280 "
203879,female,Mrs.,Betsy,A,Doyle,2771 Elgin Street,,Iroquois,ON,K0E 1K0,betsyadoyle@iname.com,613-652-5837,12/10/1968,572689636,24-Oct,"$7,425 "
203881,female,Mrs.,Vicki,T,Mueller,2747 Reserve St,,Verona,ON,K0H 2W0,vickitmueller@outlook.com,613-374-8067,7/5/1940,572725901,26-Jul,"$17,430 "
203883,male,Mr.,Phillip,L,Damiano,4572 Speers Road,,Oakville,ON,L6J 3X4,phillipldamiano@gmail.com,905-845-1542,4/12/1960,573256674,27-Aug,"$8,742 "
203885,female,Ms.,Alfreda,R,Hutchinson,1594 Ste. Catherine Ouest,,Montreal,QC,H3B 2M1,alfredarhutchinson@gmail.com,514-906-9669,11/21/2001,259706240,24-Nov,"$8,655 "
